Url,Name,Price,Value,Category,SKU,Present,Time Take,Color,Size,Region,Description
https://www.dior.com/en_us/products/couture-S7023CWIF_M911_TU-j-adior-calfskin-iphone-case,j'adior calfskin iphone case,930,USD,women/small leather goods/small accessories/j\'adior,S7023CWIF_M911_TU,В наличии,0.4951300621032715,Black,None,USA,J'Adior iPhone X case in black calfskin.
https://www.dior.com/en_us/products/couture-S7023CLLM_M900_TU-j-adior-iphone-x-case-in-black-crinkled-calfskin,j'adior iphone x case in black crinkled calfskin,810,USD,women/small leather goods/small accessories/j\'adior,S7023CLLM_M900_TU,В наличии,0.49791383743286133,Black,None,USA,"J'Adior iPhone X case in black crinkled calfskin, J'Adior signature in aged gold-tone metal."
https://www.dior.com/en_us/products/couture-S5613CTZQ_M928_TU-dior-oblique-saddle-purse,dior oblique saddle purse,340,USD,women/small leather goods/purse/saddle,S5613CTZQ_M928_TU,В наличии,0.48194336891174316,Blue,None,USA,Saddle zipped purse in blue Dior Oblique jacquard canvas with blue calfskin leather details.
https://www.dior.com/en_us/products/couture-S2009CNMJ_M413_TU-dioraddict-lambskin-wallet,dioraddict lambskin wallet,850,USD,women/small leather goods/wallets/dioraddict,S2009CNMJ_M413_TU,В наличии,0.5407073497772217,Pink,None,USA,"French Dioraddict flap wallet in powder pink Cannage lambskin, signature clasp in aged gold-tone metal."
https://www.dior.com/en_us/products/couture-S2008CNMJ_M900_TU-dioraddict-lambskin-wallet,dioraddict lambskin wallet,1000,USD,women/small leather goods/wallets/dioraddict,S2008CNMJ_M900_TU,В наличии,0.47634339332580566,Black,None,USA,"Dioraddict Continental wallet in black Cannage lambskin, signature clasp in aged gold-tone metal."
https://www.dior.com/en_us/products/couture-S2016CNMJ_M900_TU-dioraddict-lambskin-wallet,dioraddict lambskin wallet,750,USD,women/small leather goods/wallets/dioraddict,S2016CNMJ_M900_TU,В наличии,0.5763263702392578,Black,None,USA,Dioraddict compact wallet in black Cannage lambskin.
https://www.dior.com/en_us/products/couture-S0617OVKQ_M85K_TU-diorama-calfskin-wallet,diorama calfskin wallet,680,USD,women/small leather goods/wallets/diorama,S0617OVKQ_M85K_TU,В наличии,0.48259949684143066,Silver,None,USA,Diorama Élancée wallet in silver-tone metallic grained calfskin with large Cannage design.
https://www.dior.com/en_us/products/couture-S0617OVKQ_M89K_TU-diorama-calfskin-wallet,diorama calfskin wallet,680,USD,women/small leather goods/wallets/diorama,S0617OVKQ_M89K_TU,В наличии,0.48943567276000977,Silver,None,USA,Diorama Élancée wallet in silver-tone metallic grained calfskin with large Cannage design.
https://www.dior.com/en_us/products/couture-S0617PSKN_M090_TU-diorama-calfskin-wallet,diorama calfskin wallet,720,USD,women/small leather goods/wallets/diorama,S0617PSKN_M090_TU,В наличии,0.49487853050231934,Silver,None,USA,"Diorama Élancée wallet in silver-tone metallic calfskin with ""Micro-cannage"" motif, jewellery in silver-tone metal."
https://www.dior.com/en_us/products/couture-S0617OSKN_M00J_TU-diorama-calfskin-wallet,diorama calfskin wallet,720,USD,women/small leather goods/wallets/diorama,S0617OSKN_M00J_TU,В наличии,0.46985912322998047,Gold,None,USA,"Diorama Élancée wallet in champagne metallic calfskin with ""Micro-cannage"" motif, jewellery in light gold-tone metal."
